Tanggal,Waktu,Suhu (C),Suhu (F),Kelembaban,Heat Index (C),Heat Index (F)
30/08/2023,15.13.03,28.00,82.40,65.00,30.03,86.06
30/08/2023,15.16.11,27.60,81.68,67.00,29.58,85.25
30/08/2023,15.17.39,28.00,82.40,66.00,30.15,86.28
30/08/2023,15.21.28,27.60,81.68,68.00,29.69,85.44
30/08/2023,15.22.50,27.60,81.68,69.00,29.80,85.64
30/08/2023,15.24.16,27.60,81.68,68.00,29.69,85.44
30/08/2023,15.25.32,27.60,81.68,68.00,29.69,85.44
30/08/2023,15.26.48,27.60,81.68,68.00,29.69,85.44
30/08/2023,15.28.07,28.00,82.40,67.00,30.28,86.50
30/08/2023,15.29.24,28.00,82.40,66.00,30.15,86.28
30/08/2023,15.30.40,28.00,82.40,67.00,30.28,86.50
30/08/2023,15.31.56,27.10,80.78,70.00,29.03,84.25
30/08/2023,15.33.12,26.70,80.06,71.00,28.43,83.17
30/08/2023,15.34.29,26.70,80.06,70.00,28.36,83.05
30/08/2023,15.35.45,26.50,79.70,71.00,28.10,82.59
30/08/2023,15.37.02,26.20,79.16,71.00,27.63,81.74
30/08/2023,15.38.17,27.10,80.78,70.00,29.03,84.25
30/08/2023,15.39.34,27.10,80.78,69.00,28.94,84.09
30/08/2023,15.40.50,26.70,80.06,71.00,28.43,83.17
30/08/2023,15.42.06,26.20,79.16,72.00,27.68,81.82
30/08/2023,15.43.22,26.20,79.16,72.00,27.68,81.82
30/08/2023,15.44.38,26.70,80.06,71.00,28.43,83.17
30/08/2023,15.45.54,26.70,80.06,72.00,28.50,83.30
30/08/2023,15.47.10,26.20,79.16,73.00,27.73,81.91
30/08/2023,15.48.27,26.70,80.06,71.00,28.43,83.17
30/08/2023,15.49.43,27.10,80.78,71.00,29.11,84.40
30/08/2023,15.50.59,26.70,80.06,72.00,28.50,83.30
30/08/2023,15.52.38,26.20,79.16,72.00,27.68,81.82
30/08/2023,15.54.16,25.80,78.44,73.00,27.10,80.77
30/08/2023,15.55.32,26.30,79.34,72.00,27.84,82.11
30/08/2023,15.56.48,26.70,80.06,72.00,28.50,83.30
30/08/2023,15.58.05,26.20,79.16,72.00,27.68,81.82
30/08/2023,15.59.21,25.80,78.44,73.00,27.10,80.77
30/08/2023,16.04.29,26.70,80.06,72.00,28.50,83.30
30/08/2023,16.08.18,25.80,78.44,73.00,27.10,80.77
30/08/2023,16.09.35,26.20,79.16,73.00,27.73,81.91
30/08/2023,16.14.03,26.20,79.16,73.00,27.73,81.91
30/08/2023,16.17.15,25.70,78.26,74.00,26.97,80.54
30/08/2023,16.18.23,25.80,78.44,73.00,27.10,80.77
30/08/2023,16.19.19,25.30,77.54,74.00,25.82,78.47
30/08/2023,16.22.12,25.80,78.44,74.00,27.12,80.82
30/08/2023,16.30.42,25.80,78.44,73.00,27.10,80.77
30/08/2023,16.32.00,25.30,77.54,74.00,25.82,78.47
30/08/2023,16.36.21,25.80,78.44,73.00,27.10,80.77
30/08/2023,16.40.17,25.80,78.44,73.00,27.10,80.77
30/08/2023,16.43.54,25.30,77.54,74.00,25.82,78.47
30/08/2023,16.45.10,25.80,78.44,74.00,27.12,80.82
30/08/2023,16.47.51,26.20,79.16,73.00,27.73,81.91
30/08/2023,16.48.33,26.20,79.16,73.00,27.73,81.91
30/08/2023,16.49.52,26.20,79.16,73.00,27.73,81.91
30/08/2023,16.51.09,26.20,79.16,72.00,27.68,81.82
30/08/2023,16.52.25,26.30,79.34,73.00,27.89,82.20
30/08/2023,16.53.42,26.70,80.06,72.00,28.50,83.30
30/08/2023,16.54.59,26.70,80.06,72.00,28.50,83.30
30/08/2023,16.56.16,26.70,80.06,71.00,28.43,83.17
30/08/2023,16.57.35,27.00,80.60,71.00,28.94,84.09
30/08/2023,16.59.02,27.10,80.78,71.00,29.11,84.40
30/08/2023,17.00.18,27.10,80.78,71.00,29.11,84.40
